horasEstudo,numeroFaltas,media,suporte,reforco,cluster
0.90,0.59,0.52,0.75,0.00,3
0.97,0.55,0.62,1.00,0.00,3
0.86,0.17,0.73,0.75,0.00,1
0.11,0.41,0.50,0.25,1.00,4
0.95,0.76,0.39,1.00,0.00,3
0.42,0.45,0.42,0.25,0.00,0
0.01,1.00,0.19,0.50,1.00,4
0.44,0.86,0.20,0.50,0.00,0
0.05,0.69,0.34,0.50,0.00,0
0.54,1.00,0.07,0.75,0.00,2
0.34,0.31,0.65,0.75,1.00,4
0.47,0.79,0.23,0.75,0.00,2
0.61,0.34,0.47,0.00,0.00,1
0.87,0.41,0.58,0.50,0.00,3
0.66,0.38,0.56,0.75,0.00,1
0.43,0.28,0.60,0.50,0.00,1
0.82,0.10,0.84,1.00,1.00,4
0.91,0.21,0.82,0.75,1.00,4
0.12,0.79,0.26,0.75,0.00,2
0.53,0.97,0.01,0.00,0.00,0
0.28,0.72,0.33,0.75,1.00,4
0.05,0.03,0.82,1.00,0.00,1
0.67,0.21,0.73,0.50,0.00,1
0.86,0.97,0.18,0.75,0.00,3
0.16,0.28,0.64,0.50,0.00,1
0.81,0.14,0.83,0.50,1.00,4
0.85,0.48,0.55,0.75,0.00,3
0.92,0.59,0.46,0.75,0.00,3
0.27,0.10,0.68,0.75,0.00,1
0.90,0.62,0.53,0.25,1.00,4
0.32,0.66,0.24,0.25,0.00,0
0.55,0.86,0.25,0.75,0.00,2
0.05,0.21,0.52,0.25,0.00,1
0.04,0.86,0.13,0.50,0.00,0
0.72,0.24,0.63,0.00,0.00,1
0.44,0.55,0.37,0.25,0.00,0
0.26,0.41,0.59,0.75,0.00,2
0.19,0.79,0.29,0.75,0.00,2
0.67,0.69,0.38,0.25,1.00,4
0.00,0.93,0.00,0.25,0.00,0
0.81,0.76,0.26,0.00,0.00,3
0.08,0.34,0.56,0.50,0.00,1
0.19,0.90,0.05,0.25,0.00,0
0.39,0.00,0.88,0.50,0.00,1
0.49,0.03,0.89,0.75,1.00,4
0.36,0.55,0.56,0.75,1.00,4
0.32,0.14,0.68,0.25,0.00,1
0.96,1.00,0.18,0.75,0.00,3
0.64,1.00,0.24,1.00,0.00,2
0.02,0.17,0.64,0.50,0.00,1
0.43,0.86,0.19,0.50,0.00,0
0.88,0.83,0.18,0.50,0.00,3
0.30,0.79,0.32,0.25,1.00,4
0.09,0.21,0.63,0.75,0.00,1
0.76,0.93,0.24,0.75,0.00,3
0.61,0.69,0.38,0.50,1.00,4
0.57,1.00,0.16,0.75,0.00,3
0.05,0.48,0.51,0.75,0.00,2
0.14,0.62,0.21,0.00,0.00,0
0.62,0.52,0.37,0.25,0.00,3
0.21,0.83,0.37,0.75,1.00,4
0.50,0.41,0.65,1.00,1.00,4
0.55,0.14,0.81,0.75,1.00,4
0.28,0.07,0.89,1.00,1.00,4
0.95,0.07,0.77,0.50,0.00,1
0.84,0.62,0.48,0.25,1.00,4
0.72,0.45,0.55,0.50,1.00,4
0.08,0.52,0.22,0.00,0.00,0
0.11,0.72,0.34,0.75,0.00,2
0.49,0.55,0.45,1.00,0.00,2
0.16,0.90,0.15,0.75,0.00,2
0.98,0.10,0.90,0.50,0.00,1
0.16,0.41,0.54,0.25,1.00,4
0.49,0.24,0.74,0.25,1.00,4
0.36,0.62,0.25,0.50,0.00,0
0.64,0.14,0.78,0.75,0.00,1
0.13,0.03,0.87,0.50,1.00,4
0.43,0.48,0.65,1.00,0.00,2
0.27,0.03,0.88,0.75,0.00,1
0.89,0.34,0.70,0.25,1.00,4
0.04,0.41,0.50,0.25,1.00,4
0.91,0.76,0.34,0.75,1.00,4
0.83,0.31,0.53,0.25,0.00,1
0.30,0.07,0.76,0.75,0.00,1
0.79,0.14,0.90,0.50,1.00,4
0.03,0.07,0.61,0.25,0.00,1
0.97,0.17,0.79,0.50,1.00,4
0.53,0.41,0.53,0.50,0.00,1
0.30,0.31,0.55,0.75,0.00,1
0.36,0.62,0.30,0.00,0.00,0
0.07,0.24,0.68,0.75,0.00,1
0.99,0.59,0.56,0.75,1.00,4
0.04,0.07,0.78,0.75,0.00,1
0.66,0.79,0.26,0.00,1.00,4
0.44,0.79,0.20,0.75,1.00,4
0.95,0.55,0.51,0.50,0.00,3
0.25,0.24,0.61,0.50,1.00,4
0.53,0.31,0.66,0.75,0.00,1
0.48,0.03,0.90,0.50,1.00,4
0.70,0.38,0.58,0.75,0.00,1
0.07,0.76,0.25,0.25,0.00,0
0.19,0.17,0.72,0.75,0.00,1
0.21,0.03,0.70,0.25,0.00,1
0.74,0.69,0.44,0.75,1.00,4
0.19,0.76,0.28,1.00,0.00,2
0.57,0.79,0.26,0.50,0.00,3
0.22,0.07,0.77,0.50,0.00,1
0.86,0.55,0.66,0.75,1.00,4
0.94,0.97,0.13,0.00,0.00,3
0.52,0.21,0.70,0.50,0.00,1
0.35,0.97,0.06,0.50,0.00,0
0.23,0.69,0.30,0.75,0.00,2
0.05,0.14,0.84,0.75,1.00,4
0.27,0.76,0.32,0.75,1.00,4
0.65,0.00,0.93,0.75,1.00,4
0.53,0.24,0.67,0.75,0.00,1
0.95,0.38,0.59,0.50,1.00,4
0.40,0.45,0.41,0.50,0.00,0
0.69,0.52,0.63,0.50,1.00,4
0.49,0.31,0.57,1.00,0.00,2
0.51,0.48,0.56,0.75,0.00,2
0.27,0.69,0.33,0.50,0.00,0
0.46,0.79,0.24,0.75,0.00,2
0.47,0.86,0.20,0.50,0.00,0
0.71,0.48,0.58,0.75,1.00,4
0.94,0.31,0.67,0.50,0.00,1
0.33,0.69,0.39,0.25,1.00,4
0.04,0.93,0.05,0.75,0.00,2
0.50,0.21,0.69,0.75,0.00,1
0.55,0.86,0.28,0.50,1.00,4
0.17,0.07,0.64,0.50,0.00,1
0.76,0.03,0.82,0.75,0.00,1
0.99,0.17,0.80,0.75,1.00,4
0.95,0.69,0.43,0.75,0.00,3
0.20,0.28,0.58,0.50,0.00,1
0.88,0.31,0.82,1.00,1.00,4
0.71,0.10,0.75,0.75,0.00,1
0.45,0.90,0.22,0.75,1.00,4
0.54,0.07,0.74,0.75,0.00,1
0.85,0.28,0.67,0.25,0.00,1
0.48,0.79,0.30,0.00,0.00,0
0.37,0.72,0.34,0.75,1.00,4
0.49,0.55,0.38,0.50,0.00,0
0.58,0.45,0.56,0.75,1.00,4
0.19,0.31,0.53,0.50,0.00,1
0.90,0.41,0.56,0.50,0.00,3
0.67,0.38,0.69,0.25,1.00,4
0.63,0.90,0.22,0.75,0.00,3
0.10,0.00,0.78,0.25,0.00,1
0.60,0.93,0.32,0.75,0.00,3
0.12,0.72,0.14,0.50,0.00,0
0.08,0.97,0.15,0.75,0.00,2
0.53,0.62,0.41,0.25,0.00,0
0.40,0.62,0.31,0.25,0.00,0
0.59,0.17,0.74,0.75,0.00,1
0.09,0.41,0.50,0.50,0.00,0
0.43,0.62,0.29,0.25,0.00,0
0.17,0.41,0.55,1.00,1.00,4
0.99,0.90,0.24,0.25,1.00,4
0.56,0.86,0.14,0.50,0.00,3
0.69,0.72,0.24,0.25,0.00,3
0.33,0.69,0.41,0.50,1.00,4
0.09,0.10,0.71,0.50,0.00,1
0.98,0.79,0.05,0.25,0.00,3
0.29,0.03,0.81,0.75,0.00,1
0.42,0.48,0.48,0.50,1.00,4
0.65,0.38,0.51,0.75,0.00,1
0.02,1.00,0.03,0.25,1.00,4
0.81,0.90,0.32,0.50,1.00,4
0.54,0.21,0.65,0.00,0.00,1
0.28,0.66,0.37,0.75,1.00,4
0.06,0.59,0.37,0.75,0.00,2
0.16,0.76,0.43,0.75,0.00,2
0.90,0.41,0.57,0.50,0.00,3
0.69,0.55,0.49,0.75,0.00,3
0.25,0.10,0.66,0.75,0.00,1
0.07,0.83,0.19,0.00,0.00,0
0.69,0.45,0.45,0.25,0.00,3
0.57,0.66,0.22,0.50,0.00,3
0.40,0.93,0.20,0.75,0.00,2
0.36,0.41,0.36,0.00,1.00,4
0.22,0.07,0.83,0.75,0.00,1
0.67,0.86,0.20,0.50,0.00,3
0.97,0.86,0.17,0.50,0.00,3
0.18,0.59,0.35,0.25,0.00,0
0.60,0.45,0.50,0.50,0.00,1
0.42,0.48,0.41,0.00,0.00,0
0.45,0.07,0.63,0.00,0.00,1
0.25,0.00,0.75,0.75,0.00,1
0.83,0.86,0.31,0.50,1.00,4
0.49,0.79,0.35,0.50,1.00,4
0.54,0.55,0.40,0.25,0.00,0
0.31,0.07,0.77,0.50,1.00,4
0.18,0.45,0.41,0.00,0.00,0
0.09,0.07,0.65,0.50,0.00,1
0.71,0.41,0.60,0.50,1.00,4
0.20,0.48,0.47,0.50,0.00,0
0.69,0.59,0.53,1.00,0.00,2
0.39,0.45,0.43,0.50,0.00,0
0.42,0.69,0.26,0.50,0.00,0
0.47,0.86,0.30,0.50,0.00,0
0.37,0.07,0.66,0.25,0.00,1
0.10,0.62,0.31,0.75,0.00,2
0.31,0.24,0.53,0.50,0.00,1
0.66,0.10,0.73,0.25,1.00,4
0.67,0.10,0.78,0.75,0.00,1
0.29,0.62,0.26,0.00,1.00,4
0.46,0.34,0.60,1.00,0.00,2
0.19,0.00,0.79,0.75,1.00,4
0.21,0.24,0.68,0.50,1.00,4
0.02,0.48,0.38,0.25,0.00,0
0.90,0.00,0.87,0.25,0.00,1
0.21,0.21,0.58,0.25,0.00,1
0.23,0.69,0.32,0.25,1.00,4
0.28,0.66,0.37,0.50,0.00,0
0.13,0.66,0.36,1.00,0.00,2
0.64,0.79,0.20,0.50,0.00,3
0.08,0.34,0.54,0.75,1.00,4
0.13,0.90,0.14,0.75,0.00,2
0.65,0.97,0.15,0.75,0.00,3
0.34,0.45,0.40,0.00,0.00,0
0.71,0.72,0.25,0.50,1.00,4
0.56,0.52,0.42,0.75,0.00,2
0.26,0.45,0.38,0.75,0.00,2
0.65,0.38,0.55,1.00,0.00,2
0.12,0.55,0.29,0.75,0.00,2
0.54,0.45,0.54,0.25,1.00,4
0.44,0.31,0.65,0.50,0.00,1
0.27,0.79,0.23,0.00,0.00,0
0.60,0.97,0.17,0.75,1.00,4
0.87,0.45,0.53,0.50,1.00,4
1.00,0.59,0.39,0.75,0.00,3
0.61,0.72,0.39,1.00,0.00,2
0.41,0.28,0.74,0.75,1.00,4
0.23,0.55,0.41,0.50,0.00,0
0.26,0.17,0.58,0.25,1.00,4
0.48,0.24,0.82,0.75,1.00,4
0.37,0.86,0.09,0.25,0.00,0
0.91,0.41,0.47,0.25,1.00,4
0.37,0.59,0.36,0.25,0.00,0
0.37,0.14,0.64,0.50,0.00,1
0.38,0.17,0.56,0.25,0.00,1
0.84,0.69,0.46,1.00,1.00,4
0.65,0.62,0.46,1.00,0.00,2
0.61,0.10,0.82,1.00,0.00,1
0.33,0.21,0.64,0.00,1.00,4
0.82,0.10,0.78,1.00,0.00,1
0.04,0.83,0.16,1.00,0.00,2
0.87,0.34,0.77,1.00,1.00,4
0.51,0.38,0.50,0.75,1.00,4
0.40,0.45,0.65,0.75,1.00,4
0.50,0.41,0.43,0.25,1.00,4
0.67,0.97,0.28,0.75,0.00,3
0.01,0.31,0.41,0.00,0.00,0
0.87,0.59,0.33,0.50,0.00,3
0.45,0.52,0.50,1.00,0.00,2
0.34,0.14,0.77,0.50,0.00,1
0.14,0.24,0.60,0.25,1.00,4
0.44,0.45,0.52,1.00,0.00,2
0.50,0.14,0.91,1.00,0.00,1
0.40,0.86,0.08,0.25,0.00,0
0.68,0.93,0.28,0.75,0.00,3
0.42,0.79,0.16,0.50,0.00,0
0.96,0.24,0.79,0.50,0.00,1
0.60,0.83,0.17,0.25,0.00,0
0.81,0.86,0.20,0.00,0.00,3
0.11,0.17,0.71,0.25,1.00,4
0.40,0.52,0.31,0.00,1.00,4
0.34,0.93,0.13,1.00,0.00,2
0.57,0.10,0.80,0.75,1.00,4
0.86,0.38,0.70,0.75,0.00,1
0.08,0.34,0.54,0.75,0.00,2
0.07,0.07,0.68,0.25,0.00,1
0.85,0.38,0.66,1.00,0.00,1
0.21,1.00,0.23,0.75,1.00,4
0.67,0.14,0.65,0.50,0.00,1
0.54,0.17,0.75,0.25,1.00,4
0.83,0.62,0.41,0.75,0.00,3
0.13,0.59,0.34,0.75,0.00,2
0.13,0.52,0.48,0.75,1.00,4
0.56,0.76,0.25,0.00,0.00,0
0.95,0.34,0.58,0.25,0.00,3
0.42,0.14,0.85,0.50,0.00,1
0.33,0.28,0.60,0.75,0.00,1
0.61,0.07,0.70,0.00,0.00,1
0.93,1.00,0.13,0.50,0.00,3
0.84,0.24,0.64,0.50,0.00,1
1.00,0.17,0.75,0.75,0.00,1
0.02,0.10,0.75,0.50,0.00,1
0.11,0.38,0.49,0.50,0.00,0
0.61,0.38,0.54,0.75,0.00,1
0.82,0.83,0.29,1.00,0.00,3
0.29,0.69,0.35,0.25,0.00,0
0.24,0.52,0.44,0.25,0.00,0
0.79,0.31,0.73,1.00,0.00,1
0.06,0.72,0.26,0.50,0.00,0
0.37,0.45,0.48,0.75,0.00,2
0.51,0.41,0.47,0.75,0.00,2
0.56,0.28,0.65,0.25,0.00,1
0.73,0.21,0.78,0.75,0.00,1
0.36,0.38,0.35,0.75,0.00,2
0.61,0.14,0.71,0.50,0.00,1
0.59,0.59,0.27,0.00,0.00,0
0.55,0.10,0.72,1.00,0.00,1
0.64,0.03,0.72,0.50,0.00,1
0.26,0.07,0.80,0.75,1.00,4
0.08,0.86,0.12,0.75,0.00,2
0.12,0.38,0.55,0.50,1.00,4
0.22,0.07,0.84,0.75,1.00,4
0.50,0.10,0.80,1.00,0.00,1
0.84,0.17,0.84,0.50,0.00,1
0.70,0.38,0.43,0.50,0.00,3
0.79,0.62,0.55,1.00,0.00,2
0.35,0.31,0.50,0.25,0.00,1
0.41,1.00,0.18,0.00,1.00,4
0.39,0.00,0.97,1.00,1.00,4
0.19,0.55,0.42,0.75,0.00,2
0.06,0.52,0.44,1.00,0.00,2
0.59,0.28,0.53,0.00,0.00,1
0.99,0.83,0.23,0.25,1.00,4
0.17,0.69,0.28,0.25,1.00,4
0.05,0.28,0.59,0.75,1.00,4
0.78,0.90,0.16,0.75,0.00,3
0.25,0.76,0.09,0.50,0.00,0
0.83,0.28,0.56,0.00,0.00,1
0.70,0.38,0.58,0.75,0.00,1
0.95,0.76,0.41,0.50,1.00,4
0.41,0.28,0.55,0.25,1.00,4
0.66,0.48,0.65,1.00,0.00,2
0.47,0.03,0.75,0.25,0.00,1
0.63,0.34,0.59,0.75,0.00,1
0.45,0.34,0.71,0.75,1.00,4
0.19,0.24,0.63,0.50,0.00,1
0.51,0.76,0.26,0.25,0.00,0
0.53,0.17,0.67,0.50,0.00,1
0.81,0.69,0.40,0.75,0.00,3
0.74,0.66,0.45,0.25,1.00,4
0.66,0.21,0.66,0.75,0.00,1
0.11,0.07,0.75,1.00,0.00,1
0.72,0.24,0.74,1.00,0.00,1
0.50,0.59,0.34,0.50,0.00,0
0.90,0.55,0.46,0.75,0.00,3
0.92,0.34,0.61,1.00,0.00,1
0.06,0.03,0.71,0.50,0.00,1
0.82,0.83,0.30,0.25,1.00,4
0.04,0.69,0.22,0.25,0.00,0
0.37,0.90,0.07,0.25,0.00,0
0.54,0.79,0.17,0.75,0.00,2
0.15,0.62,0.27,0.50,0.00,0
0.75,0.21,0.70,0.75,0.00,1
0.01,0.59,0.47,0.75,1.00,4
0.17,0.24,0.76,0.75,0.00,1
0.58,0.45,0.53,0.75,0.00,2
0.72,0.21,0.76,0.00,0.00,1
0.92,0.93,0.25,0.75,0.00,3
0.71,0.69,0.31,0.50,0.00,3
0.67,0.93,0.22,0.50,0.00,3
0.39,0.90,0.03,0.00,0.00,0
0.00,0.10,0.73,1.00,0.00,1
0.12,0.55,0.51,1.00,0.00,2
0.54,0.14,0.77,0.50,0.00,1
0.68,0.38,0.61,0.50,0.00,1
0.42,0.28,0.61,0.75,0.00,1
0.73,0.86,0.19,0.25,0.00,3
0.52,0.66,0.47,0.25,1.00,4
0.07,0.41,0.40,0.75,0.00,2
0.19,0.83,0.18,0.25,0.00,0
0.84,0.93,0.19,0.50,0.00,3
0.73,0.59,0.38,0.50,1.00,4
0.90,0.66,0.38,0.50,1.00,4
0.12,0.28,0.57,0.25,0.00,1
0.99,0.10,0.85,0.50,0.00,1
0.21,0.69,0.36,0.50,1.00,4
0.01,0.90,0.08,0.50,0.00,0
1.00,0.24,0.78,0.75,0.00,1
0.28,0.00,0.94,1.00,1.00,4
0.67,0.55,0.41,0.25,0.00,3
0.18,0.83,0.26,0.75,0.00,2
0.58,0.28,0.63,0.25,1.00,4
0.91,0.66,0.35,0.50,0.00,3
0.32,0.41,0.51,0.50,0.00,1
0.67,0.03,0.82,0.50,0.00,1
0.19,0.41,0.50,0.75,0.00,2
0.63,0.28,0.60,0.50,0.00,1
0.34,1.00,0.07,0.50,0.00,0
0.21,0.66,0.39,0.75,0.00,2
0.31,0.17,0.73,0.25,1.00,4
0.18,0.93,0.06,0.25,0.00,0
0.90,0.00,0.85,0.00,1.00,4
0.40,0.93,0.15,0.25,1.00,4
0.25,0.83,0.23,0.50,0.00,0
0.45,0.14,0.67,0.50,0.00,1
0.32,0.07,0.78,0.25,1.00,4
0.75,0.10,0.70,0.00,0.00,1
0.97,0.00,1.00,0.75,0.00,1
0.44,0.45,0.58,0.75,0.00,2
0.86,0.28,0.77,1.00,1.00,4
0.57,1.00,0.22,1.00,0.00,2
0.16,0.79,0.38,1.00,0.00,2
0.69,0.10,0.82,0.75,0.00,1
0.51,0.59,0.54,0.75,1.00,4
0.65,0.45,0.46,0.25,0.00,3
0.89,0.83,0.37,0.75,0.00,3
0.44,0.10,0.72,0.00,0.00,1
0.90,0.83,0.26,0.75,0.00,3
0.75,0.31,0.64,0.50,0.00,1
0.49,0.07,0.90,0.75,0.00,1
0.60,0.76,0.33,0.00,0.00,0
0.33,0.21,0.80,0.50,1.00,4
0.98,0.31,0.63,0.50,0.00,1
0.67,0.41,0.50,0.25,0.00,1
0.04,0.10,0.75,0.50,1.00,4
0.33,0.59,0.38,0.00,0.00,0
0.62,0.34,0.54,0.50,0.00,1
0.06,0.83,0.16,0.50,1.00,4
0.02,0.10,0.69,0.75,0.00,1
0.45,0.79,0.26,0.50,0.00,0
0.33,0.45,0.56,0.50,0.00,1
0.44,0.59,0.42,1.00,0.00,2
0.26,0.24,0.62,0.50,0.00,1
0.16,0.90,0.07,0.50,1.00,4
0.69,0.31,0.66,0.50,0.00,1
0.52,0.14,0.76,0.75,0.00,1
0.20,0.76,0.34,0.50,0.00,0
0.32,0.21,0.81,0.50,1.00,4
0.59,0.38,0.64,0.75,1.00,4
0.07,0.83,0.00,0.00,0.00,0
0.15,0.07,0.79,0.75,1.00,4
0.07,0.86,0.26,0.50,1.00,4
0.81,0.10,0.72,0.50,0.00,1
0.75,0.31,0.66,0.75,0.00,1
0.75,0.10,0.67,0.25,0.00,1
0.72,0.48,0.70,0.75,1.00,4
0.67,0.97,0.30,1.00,1.00,4
0.48,0.31,0.63,0.50,0.00,1
0.64,0.69,0.40,1.00,0.00,2
0.04,1.00,0.00,0.00,0.00,0
0.62,0.72,0.40,0.75,1.00,4
0.78,0.52,0.56,0.50,1.00,4
0.50,0.48,0.40,0.50,0.00,3
0.36,0.62,0.42,0.25,0.00,0
0.28,0.97,0.05,0.50,0.00,0
0.64,0.66,0.39,0.25,1.00,4
0.69,0.62,0.54,1.00,0.00,2
0.87,0.59,0.52,0.75,0.00,3
0.34,0.86,0.14,0.25,1.00,4
0.77,0.38,0.54,0.25,0.00,1
0.56,0.83,0.32,0.75,1.00,4
0.88,0.52,0.59,0.50,0.00,3
0.53,0.00,0.73,0.25,0.00,1
0.52,0.52,0.55,0.50,1.00,4
0.58,0.03,0.77,0.50,0.00,1
0.75,0.79,0.25,0.25,0.00,3
0.97,0.48,0.53,0.75,0.00,3
0.07,0.21,0.65,0.75,0.00,1
0.05,0.93,0.10,0.00,0.00,0
0.94,0.00,0.99,1.00,1.00,4
0.53,0.14,0.75,0.50,1.00,4
0.62,0.31,0.70,0.25,1.00,4
0.48,0.72,0.19,0.25,0.00,0
0.09,0.69,0.22,0.25,1.00,4
0.77,0.10,0.92,0.50,1.00,4
0.75,0.45,0.35,0.25,0.00,3
0.31,0.41,0.36,0.50,0.00,0
0.31,0.00,0.79,0.25,0.00,1
0.84,0.52,0.59,0.75,1.00,4
0.07,0.76,0.29,0.75,0.00,2
0.88,0.28,0.66,0.50,1.00,4
0.26,0.72,0.32,0.75,0.00,2
0.59,0.52,0.66,1.00,1.00,4
0.94,0.62,0.43,0.75,0.00,3
0.68,0.48,0.50,0.50,0.00,3
0.41,0.86,0.18,0.50,0.00,0
0.69,0.45,0.57,0.75,0.00,1
0.34,0.66,0.32,0.25,1.00,4
0.28,0.31,0.66,0.50,1.00,4
1.00,0.69,0.31,0.50,0.00,3
0.75,0.38,0.62,0.75,0.00,1
0.65,0.93,0.18,0.75,0.00,3
0.36,0.00,0.97,0.50,0.00,1
0.05,0.69,0.17,0.25,0.00,0
0.03,0.55,0.47,1.00,1.00,4
0.55,0.28,0.58,0.00,1.00,4
0.76,0.76,0.22,0.00,0.00,3
0.54,0.62,0.35,0.50,0.00,3
0.84,0.83,0.42,0.75,0.00,3
0.03,0.59,0.34,0.75,0.00,2
0.37,0.93,0.16,1.00,0.00,2
0.24,0.21,0.54,0.25,0.00,1
0.45,0.28,0.61,0.50,0.00,1
0.07,0.72,0.07,0.25,0.00,0
0.96,0.86,0.33,0.75,0.00,3
0.22,0.69,0.20,0.50,0.00,0
0.92,0.38,0.51,0.00,0.00,3
0.43,0.21,0.80,0.75,1.00,4
0.99,0.45,0.56,0.50,1.00,4
0.55,0.48,0.48,0.50,1.00,4
0.93,0.48,0.56,0.75,0.00,3
0.01,0.17,0.56,0.25,0.00,1
0.75,0.69,0.47,0.25,0.00,3
0.90,0.45,0.55,0.25,0.00,3
0.14,0.03,0.83,0.50,1.00,4
0.10,0.24,0.60,0.25,0.00,1
0.43,0.41,0.54,0.75,0.00,2
0.93,0.76,0.29,0.25,0.00,3
0.54,0.17,0.65,1.00,0.00,1
0.53,0.14,0.75,0.25,1.00,4
0.14,0.14,0.64,0.25,0.00,1
0.00,0.83,0.06,0.25,0.00,0
0.81,0.00,0.91,0.75,0.00,1
0.09,0.28,0.65,0.50,1.00,4
0.63,0.17,0.84,0.75,0.00,1
0.92,0.66,0.40,0.75,0.00,3
0.21,0.86,0.19,1.00,0.00,2
0.67,1.00,0.20,0.75,1.00,4
0.08,0.21,0.58,0.00,0.00,1
0.60,0.28,0.68,0.75,0.00,1
0.16,0.14,0.81,1.00,1.00,4
0.74,0.45,0.72,1.00,1.00,4
0.30,0.14,0.58,0.25,0.00,1
0.46,0.24,0.83,0.75,1.00,4
0.60,0.21,0.62,0.25,0.00,1
0.17,0.41,0.65,0.25,1.00,4
0.74,0.41,0.53,0.75,0.00,1
0.30,0.24,0.63,1.00,0.00,2
0.66,0.34,0.62,0.50,1.00,4
0.16,0.93,0.20,0.75,1.00,4
0.69,0.86,0.19,0.00,0.00,0
0.13,0.59,0.32,0.00,1.00,4
0.43,0.83,0.16,0.50,0.00,0
0.25,0.62,0.42,0.50,1.00,4
0.75,0.17,0.82,0.75,0.00,1
0.26,0.72,0.19,0.50,0.00,0
0.88,0.03,0.83,0.50,0.00,1
0.89,0.93,0.30,0.50,0.00,3
0.20,0.41,0.40,0.25,0.00,0
0.61,0.76,0.40,1.00,0.00,2
0.09,0.83,0.05,0.50,0.00,0
0.39,0.93,0.12,0.50,1.00,4
0.71,0.86,0.32,0.75,0.00,3
0.66,0.34,0.59,0.50,0.00,1
0.63,0.00,0.89,0.75,0.00,1
0.28,0.79,0.07,0.25,0.00,0
0.38,0.03,0.61,0.25,0.00,1
0.10,1.00,0.15,1.00,0.00,2
0.72,0.55,0.45,0.75,0.00,3
0.50,0.24,0.66,0.50,0.00,1
0.71,0.03,0.86,0.75,0.00,1
0.25,0.17,0.68,1.00,0.00,1
0.32,0.72,0.29,0.25,1.00,4
0.33,0.14,0.60,0.00,0.00,1
0.03,0.52,0.38,0.50,1.00,4
0.34,0.24,0.61,0.25,0.00,1
0.80,0.62,0.49,0.25,1.00,4
0.90,0.52,0.57,0.75,0.00,3
0.52,0.41,0.37,0.00,0.00,0
0.46,0.86,0.28,0.75,1.00,4
0.03,0.66,0.30,0.50,0.00,0
0.88,0.21,0.64,0.50,0.00,1
0.01,0.52,0.61,0.75,0.00,2
0.95,0.76,0.31,0.50,1.00,4
0.49,0.52,0.40,0.25,0.00,0
0.34,0.97,0.08,0.25,0.00,0
0.93,0.38,0.69,0.75,1.00,4
0.02,0.45,0.40,0.25,0.00,0
0.58,0.79,0.28,0.00,1.00,4
0.55,0.59,0.58,1.00,0.00,2
0.22,0.90,0.25,1.00,1.00,4
0.43,0.93,0.04,0.50,0.00,0
0.65,0.59,0.25,0.00,0.00,0
0.73,0.52,0.56,0.75,0.00,3
0.00,0.66,0.35,0.75,0.00,2
0.94,0.52,0.53,0.25,0.00,3
0.16,0.41,0.47,0.25,0.00,0
0.23,0.86,0.31,0.75,0.00,2
0.26,0.97,0.07,1.00,0.00,2
0.04,0.28,0.68,0.75,0.00,1
0.12,0.86,0.22,0.25,0.00,0
0.99,0.93,0.35,0.50,0.00,3
0.32,0.28,0.54,0.75,0.00,1
0.12,0.41,0.36,0.25,0.00,0
0.11,0.97,0.00,0.25,0.00,0
0.72,0.10,0.77,0.25,1.00,4
0.86,0.28,0.64,0.50,0.00,1
0.26,0.48,0.49,0.50,0.00,0
